bloc,item,descripcio,nota,punts_en_joc,punts_obtinguts,punts_avaluats,punts_pendents,estat
NTP,C1,Primer control de teoria,-,1.00,0.00,0.00,1.00,pendent
NTP,C2,Segon control de teoria,-,1.00,0.00,0.00,1.00,pendent
NTP,NQ,Quizzes a classe (es calcula sol a partir de les files QUIZ),-,1.00,0.00,0.00,1.00,pendent
NTP,P1,Presentacio 1 (treball en grup),-,1.00,0.00,0.00,1.00,pendent
NTP,P2,Presentacio 2 (treball en grup),-,1.00,0.00,0.00,1.00,pendent
NLAB,IntroLAB,Sessions introductories a les tecnologies web,-,1.50,0.00,0.00,1.50,pendent
NLAB,Project,Projecte (treball en grup),-,3.50,0.00,0.00,3.50,pendent
RESUM,NTP,subtotal Teoria i exercicis,-,5.00,0.00,0.00,5.00,
RESUM,NLAB,subtotal Laboratori,-,5.00,0.00,0.00,5.00,
RESUM,NOTA FINAL,50% NTP + 50% NLAB,-,10.00,0.00,0.00,10.00,min 0.00 / max 10.00
